                   MONTHLY CLIMATOLOGICAL SUMMARY for Jul 2014


NAME: Ocotillo Desert Luxury                  
ELEV: 207 feet    LAT: 32-38.60 N    LONG: 114-31.38 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   96.3  109.9  15:51   81.7  06:00    0.0   56.3   0.00    1.0   16.6  08:30     22
 02   95.3  109.4  16:25   82.0  05:18    0.0   54.6   0.00    1.0   17.5  08:00     66
 03   94.8  107.4  15:22   84.6  03:38    0.0   53.6   0.00    1.4   15.0  09:38      6
 04   91.6  105.8  16:01   32.0  17:49    0.0   47.8   0.00    2.2   22.2  04:27    285
 05   91.6  107.8  17:16   82.4  01:20    0.0   47.9   0.00    1.4   31.2  17:36     58
 06   94.9  108.9  17:08   81.1  05:08    0.0   53.8   0.00    1.9   20.3  21:07    286
 07   98.6  112.6  16:24   83.5  05:51    0.0   60.5   0.00    2.0   20.6  11:26    282
 08   94.9  106.3  15:18   86.9  04:06    0.0   53.8   0.00    1.3   11.6  11:40    154
 09   94.1  105.3  16:00   84.7  04:09    0.0   52.4   0.00    1.2   22.2  02:32    106
 10   94.1  107.1  16:10   82.6  05:15    0.0   52.3   0.00    1.8   13.1  19:27    286
 11   93.4  107.8  15:05   76.1  05:43    0.0   51.1   0.00    2.3   16.9  11:21    283
 12  102.5  108.5  17:02   76.3  05:54    0.0   67.6   0.00    1.9   17.5  18:52    284
 13   95.3  108.9  13:17   86.9  23:55    0.0   54.6   0.23    0.7   10.9  13:19    340
 14   91.1  102.7  13:53   80.8  05:10    0.0   46.9   0.02    1.1   10.3  02:31    104
 15   93.0  107.8  15:48   80.2  05:13    0.0   50.3   0.00    1.3   15.9  18:12    300
 16   93.9  107.6  15:56   78.8  05:33    0.0   52.0   0.00    3.0   22.8  21:06    286
 17   92.0  106.9  16:37   73.0  05:52    0.0   48.6   0.00    2.9   22.8  10:30    287
 18   92.3  105.8  15:18   79.0  04:11    0.0   49.1   0.00    0.8   11.6  14:48    295
 19   94.6  107.6  15:27   84.4  03:55    0.0   53.2   0.00    1.0   13.4  14:49    114
 20   91.5  106.3  16:01   79.7  05:51    0.0   47.7   0.02    8.5   29.1  23:06    174
 21   95.0  109.4  16:13   82.0  05:16    0.0   53.9   0.00    6.4   46.2  08:24    207
 22   94.8  112.1  15:59   74.7  03:52    0.0   53.7   0.00    3.4   22.5  17:05    262
 23   99.3  117.3  15:36   79.2  05:04    0.0   61.8   0.00    3.5   20.9  14:23    260
 24  100.5  115.2  16:26   87.6  06:12    0.0   64.0   0.00    6.7   45.9  23:48    215
 25   95.7  108.9  16:14   88.5  06:03    0.0   55.3   0.00   12.2   55.0  11:24    188
 26   97.7  109.6  16:34   87.6  06:04    0.0   58.8   0.00    7.5   36.2  08:42    193
 27   90.3  101.8  16:57   77.2  09:23    0.0   45.6   0.50    6.9   44.7  06:26    181
 28   94.9  109.4  16:00   80.2  05:18    0.0   53.8   0.00    4.0   19.7  15:05    222
 29   96.8  110.5  16:02   82.4  06:02    0.0   57.2   0.00    4.0   15.1  17:00    251
 30   99.2  113.9  16:22   82.9  05:42    0.0   61.6   0.00    4.7   17.5  19:47    240
 31   97.1  109.8  15:18   86.2  06:05    0.0   57.8   0.00    9.0   30.9  09:19    185
---------------------------------------------------------------------------------------
      95.0  117.3     23   32.0     04    0.0 1677.7   0.77    3.9   55.0     25    199
    
